@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L13159","0.307692","1","3","1","0.270833","0.289474","13","11","1","1","1","8","2","4","2","5","9","0.2","0.102564","4","4","1","4","0.0952381","4","0","0","4","4","0","35","45","1","2","1","2","4","0","4","0","4","19","0","4","0","38","48","4","2","4","2","4","3","4","0","4","19","3","4","0","0","2","24","1","6","0","1","4","0","11","0","0","0","0","0","0","0","3","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","false"
"L93092","0","0","0","0","0","0","0","0","1","4","3","6","1","0","0","0","1","0.5","0.0952381","4","4","1","1","0.0952381","4","1","1","0","0","1","38","43","2","0","2","0","1","0","1","0","1","15","0","1","0","38","43","2","0","2","0","1","0","1","0","1","15","0","1","0","0","0","5","0","7","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","false"
"L93115","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","2","0.333333","0.285714","4","4","1","2","0.285714","4","1","1","0","0","1","10","12","0","0","0","0","2","0","2","0","2","1","0","2","0","10","12","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L93127","0.227545","2","10","2","0.213115","0.288889","13","13","1","3","3","12","2","0","0","4","6","1","0.274194","17","17","2","0","0.274194","17","0","0","0","0","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","0","1","13","0","2","0","0","2","0","11","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L93170","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0.5","0.235294","4","4","1","1","0.235294","4","0","0","0","0","0","13","16","2","0","2","0","1","1","1","0","1","1","1","1","0","13","16","2","0","2","0","1","1","1","0","1","1","1","1","0","0","0","9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","false"
"L89127","0","0","0","0","0","0","0","0","6","2","2","29","4","1","0","3","19","0.0588235","0.0263158","4","4","1","16","0.0263158","4","1","1","0","0","1","148","176","6","5","5","5","16","1","16","5","16","73","2","16","5","148","176","6","5","5","5","16","1","16","5","16","73","2","16","5","0","0","41","0","23","0","0","17","0","0","0","1","0","0","0","0","0","3","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","5","0","0","0","0","0","false"
"L93248","0.137931","1","2","2","0.16129","0.176471","25","18","9","0","0","9","5","0","0","14","23","0.1","0.0377358","4","4","1","9","0.0377358","4","0","0","0","0","0","102","155","0","0","0","0","9","0","9","0","9","81","0","9","0","102","155","0","0","0","0","9","0","9","0","9","81","0","9","0","0","0","36","0","1","0","0","0","0","14","0","1","0","0","0","0","0","0","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L96122","0","0","0","0","0","0","0","0","1","1","1","5","1","0","0","1","2","0.5","0.538462","28","25","1","1","0.538462","28","0","0","0","0","0","24","38","0","0","0","0","1","0","1","0","1","13","0","1","0","24","38","0","0","0","0","1","0","1","0","1","13","0","1","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","false"
"L33193","0","0","0","0","0","0","0","0","0","1","1","4","0","11","8","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","22","29","3","2","3","2","2","3","2","0","2","12","3","2","0","22","29","3","2","3","2","2","3","2","0","2","12","3","2","0","0","0","11","0","3","0","0","2","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","false"
"L2630","0","0","0","0","0","0","0","0","4","0","0","4","4","5","0","0","4","0.2","0.3","6","6","1","4","0.3","6","2","3","18","18","3","14","17","0","0","0","0","4","0","4","0","4","0","0","4","0","14","17","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","12","4","4","0","0","0","0","0","0","1","0","0","0","0","0","8","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L9660","0.107993","3","12","6","0.0965517","0.120658","70","66","4","5","5","119","28","133","216","42","95","0.1","0.0825853","46","26","5","45","0.0788591","47","1","1","0","0","1","511","677","29","17","28","16","53","2","49","3","59","283","2","55","3","549","725","30","17","29","16","57","2","52","3","63","305","2","58","3","0","4","180","7","93","0","2","68","0","38","0","1","0","8","0","4","0","22","113","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","16","6","1","0","0","0","false"
