"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L112","DatabaseAbstractTest.java","core/src/test/java/com/orientechnologies/DatabaseAbstractTest.java","L111","5","0","42","0","8","3","3122","0"
"L93091","JNADirectMemoryTest.java","core/src/test/java/com/orientechnologies/nio/JNADirectMemoryTest.java","L93090","1","0","111","0","3","3","561","0"
"L2699","TestExceptionNotOpen.java","core/src/test/java/com/orientechnologies/orient/core/TestExceptionNotOpen.java","L2698","18","0","108","0","5","4","3122","0"
"L87328","UnsafeComparatorTest.java","core/src/test/java/com/orientechnologies/common/comparator/UnsafeComparatorTest.java","L87327","1","0","27","0","3","3","561","0"
"L88649","ODFACommandStreamTest.java","core/src/test/java/com/orientechnologies/common/console/ODFACommandStreamTest.java","L88648","2","0","36","0","8","4","3122","0"
"L89460","OIOUtilsTest.java","core/src/test/java/com/orientechnologies/common/io/OIOUtilsTest.java","L89459","1","0","15","0","3","3","561","0"
"L90424","AbstractConverterTest.java","core/src/test/java/com/orientechnologies/common/serialization/AbstractConverterTest.java","L90423","1","0","62","0","3","3","561","0"
"L90425","SafeConverterTest.java","core/src/test/java/com/orientechnologies/common/serialization/SafeConverterTest.java","L90423","1","0","42","0","3","3","561","0"
"L90426","UnsafeConverterTest.java","core/src/test/java/com/orientechnologies/common/serialization/UnsafeConverterTest.java","L90423","1","0","42","0","3","3","561","0"
"L92358","MersenneTwisterTest.java","core/src/test/java/com/orientechnologies/common/util/MersenneTwisterTest.java","L92357","48","0","166","0","1","1","3122","0"
"L92359","OByteBufferUtilsTest.java","core/src/test/java/com/orientechnologies/common/util/OByteBufferUtilsTest.java","L92357","1","0","219","0","5","3","3122","0"
"L92360","OMultiKeyTest.java","core/src/test/java/com/orientechnologies/common/util/OMultiKeyTest.java","L92357","1","0","82","0","3","3","561","0"
"L92881","SpeedTest.java","core/src/test/java/com/orientechnologies/common/test/SpeedTest.java","L92880","1","0","8","0","3","3","561","0"
"L92882","SpeedTestAbstract.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestAbstract.java","L92880","4","0","49","0","6","4","3122","0"
"L92883","SpeedTestData.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestData.java","L92880","15","0","210","0","3","3","561","0"
"L92884","SpeedTestGroup.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestGroup.java","L92880","7","0","60","0","3","3","561","0"
"L92885","SpeedTestMonoThread.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestMonoThread.java","L92880","1","0","8","0","3","3","561","0"
"L92886","SpeedTestMultiThreads.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestMultiThreads.java","L92880","4","0","37","0","3","3","561","0"
"L92887","SpeedTestThread.java","core/src/test/java/com/orientechnologies/common/test/SpeedTestThread.java","L92880","1","0","33","0","3","3","561","0"
