@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L112","5","0","42","0","8","3","3122","false"
"L93091","1","0","111","0","3","3","561","false"
"L2699","18","0","108","0","5","4","3122","false"
"L87328","1","0","27","0","3","3","561","false"
"L88649","2","0","36","0","8","4","3122","false"
"L89460","1","0","15","0","3","3","561","false"
"L90424","1","0","62","0","3","3","561","false"
"L90425","1","0","42","0","3","3","561","false"
"L90426","1","0","42","0","3","3","561","false"
"L92358","48","0","166","0","1","1","3122","false"
"L92359","1","0","219","0","5","3","3122","false"
"L92360","1","0","82","0","3","3","561","false"
"L92881","1","0","8","0","3","3","561","false"
"L92882","4","0","49","0","6","4","3122","false"
"L92883","15","0","210","0","3","3","561","false"
"L92884","7","0","60","0","3","3","561","false"
"L92885","1","0","8","0","3","3","561","false"
"L92886","4","0","37","0","3","3","561","false"
"L92887","1","0","33","0","3","3","561","false"
"L6812","1","0","38","0","5","5","3122","false"
"L16952","9","0","618","1","20","7","3122","false"
"L16953","1","0","96","0","4","4","3122","false"
"L16954","1","0","191","0","5","3","3122","false"
"L16955","1","0","24","0","7","4","3122","false"
"L16956","1","0","94","1","10","4","3122","false"
"L16957","1","0","297","1","14","4","3122","false"
"L16958","1","0","321","1","15","4","3122","false"
"L16959","1","0","241","1","11","4","3122","false"
"L16960","2","0","38","0","7","4","3122","false"
"L16961","1","0","117","0","14","5","3122","false"
"L16962","2","0","40","0","4","4","3122","false"
"L28313","10","0","109","0","11","6","3122","false"
"L28803","4","0","130","1","19","7","3122","false"
"L40016","1","0","27","0","4","4","1345","false"
"L40017","1","0","15","1","1","1","561","false"
"L40018","1","0","119","1","1","1","420","false"
"L40019","13","0","353","3","26","6","82","false"
"L40020","1","0","68","1","9","5","3122","false"
"L40021","3","0","51","0","4","4","3122","false"
"L40022","1","0","64","0","1","0","0","false"
"L40023","4","0","54","0","8","4","3122","false"
"L40024","1","0","36","0","3","3","1345","false"
"L53519","7","0","70","0","9","4","3122","false"
"L61511","1","0","35","0","5","2","1345","false"
"L87450","5","0","56","0","8","4","3122","false"
"L87451","9","0","110","0","8","4","3122","false"
"L87452","11","0","82","0","8","4","3122","false"
"L87453","6","0","85","0","8","4","3122","false"
"L90663","1","0","39","0","8","4","3122","false"
"L90664","1","0","48","0","8","4","3122","false"
"L90665","1","0","36","0","8","4","3122","false"
"L90666","1","0","37","0","8","4","3122","false"
"L90667","1","0","56","0","8","4","3122","false"
"L90668","1","0","37","0","8","4","3122","false"
"L90669","1","0","38","0","3","3","561","false"
"L90670","1","0","36","0","8","4","3122","false"
"L90671","1","0","36","0","7","4","3122","false"
"L90672","1","0","36","0","7","4","3122","false"
"L90673","1","0","36","0","7","4","3122","false"
"L90674","1","0","36","0","7","4","3122","false"
"L90675","2","0","45","0","7","4","3122","false"
"L4968","4","0","114","2","13","5","3122","false"
"L5474","2","0","25","0","6","3","420","false"
"L5475","4","0","33","0","7","4","113","false"
"L5476","1","0","8","0","4","3","420","false"
"L5477","1","0","8","0","4","3","420","false"
"L5478","1","0","8","0","4","3","420","false"
"L6822","1","0","35","0","6","5","561","false"
"L10611","1","0","84","0","2","2","1345","false"
"L10612","1","0","61","0","4","2","3122","false"
"L10613","2","0","92","0","4","3","3122","false"
"L10614","7","0","139","0","18","6","561","false"
"L10615","1","0","44","3","8","3","561","false"
"L10616","3","0","50","0","1","1","3122","false"
"L10617","4","0","533","0","6","2","561","false"
"L10618","3","0","302","0","6","2","561","false"
"L10619","2","0","268","0","6","2","561","false"
"L15137","3","0","87","0","3","2","561","false"
"L15138","3","0","75","0","3","2","1345","false"
"L15178","3","0","112","1","6","4","1345","false"
"L15179","5","0","191","0","5","4","1345","false"
"L15180","1","0","39","0","7","4","327","false"
"L29148","1","0","38","0","9","3","1345","false"
"L29149","1","0","24","0","3","3","1345","false"
"L29150","5","0","392","1","17","5","3122","false"
"L29151","2","0","49","0","3","2","17","false"
"L29152","2","0","151","2","12","5","327","false"
"L29153","1","0","161","0","9","3","561","false"
"L32012","1","0","52","0","4","3","3122","false"
"L34400","1","0","36","0","4","2","3122","false"
"L34401","1","0","90","0","4","2","1345","false"
"L34402","1","0","91","0","3","3","327","false"
"L34403","38","0","718","0","12","5","1345","false"
"L34404","1","0","297","1","19","4","327","false"
"L34405","8","0","692","1","35","6","3122","false"
"L34406","1","0","258","1","19","3","3122","false"
"L34407","2","0","81","1","19","6","3122","false"
"L34408","1","0","227","2","19","6","3122","false"
"L34409","5","0","438","0","20","7","3122","false"
"L34410","11","0","147","0","9","5","33","false"
"L34411","1","0","53","0","4","2","3122","false"
"L34412","1","0","6","0","1","1","561","false"
"L37411","2","0","115","2","13","6","3122","false"
"L40041","1","0","56","1","6","3","113","false"
"L46593","5","0","64","0","5","1","327","false"
"L46594","5","0","69","0","6","2","1345","false"
"L46595","5","0","82","0","5","3","3122","false"
"L46596","5","0","55","0","4","1","327","false"
"L46597","7","0","265","0","30","5","327","false"
"L46598","5","0","51","1","4","3","3122","false"
"L46599","5","0","66","0","4","1","327","false"
"L53322","1","0","42","0","3","3","1345","false"
"L53345","19","0","171","0","7","3","3122","false"
"L53459","1","0","63","0","8","5","3122","false"
"L53468","1","0","52","0","8","3","3122","false"
"L53492","1","0","31","0","3","2","561","false"
"L53601","3","0","51","0","8","4","1345","false"
"L17520","16","0","131","1","51","10","3122","false"
"L17521","53","0","265","0","12","5","3122","false"
"L17522","38","0","185","1","17","6","3122","false"
"L17523","31","0","269","2","33","7","3122","false"
"L25958","1","0","56","0","22","6","1345","false"
"L25959","77","0","354","2","43","8","3122","false"
"L25960","31","0","237","2","38","8","1345","false"
"L25961","20","0","140","2","36","7","1345","false"
"L25962","87","0","558","4","41","8","3122","false"
"L25963","45","0","271","2","26","7","3122","false"
"L25964","20","0","341","3","46","7","1345","false"
"L25965","1","0","51","2","28","6","1345","false"
"L25966","19","0","309","5","64","9","1345","false"
"L27177","31","0","241","2","28","8","1345","false"
"L27178","81","0","413","0","9","6","3122","false"
"L27179","20","0","139","2","26","7","1345","false"
"L27180","15","0","281","2","47","7","1345","false"
"L40706","6","0","64","0","10","5","3122","false"
"L41759","1","0","54","0","3","2","3122","false"
"L41760","4","0","56","0","3","3","1345","false"
"L41761","7","0","88","0","5","3","1345","false"
"L41762","1","0","42","0","2","2","561","false"
"L41763","4","0","69","0","3","3","1345","false"
"L41983","2","0","42","0","6","4","3122","false"
"L42104","1","0","73","0","6","5","3122","false"
"L42105","2","0","26","0","5","3","3122","false"
"L54116","5","0","95","0","23","7","3122","false"
"L12300","58","0","959","0","18","6","3122","false"
"L12301","16","0","143","0","16","6","3122","false"
"L12302","26","0","242","0","14","5","3122","false"
"L12303","18","0","177","0","14","5","3122","false"
"L17540","14","0","176","0","11","7","1345","false"
"L17541","1","0","8","0","2","2","561","false"
"L17542","1","0","10","0","6","5","3122","false"
"L17543","1","0","7","0","2","2","561","false"
"L17544","30","0","289","0","31","8","1345","false"
"L17545","80","0","681","4","55","9","1345","false"
"L17546","18","0","204","1","28","7","1345","false"
"L20568","32","0","236","1","28","6","1345","false"
"L37420","1","0","29","0","12","4","3122","false"
"L54974","27","0","865","2","27","7","1345","false"
"L54975","75","0","919","1","107","10","1345","false"
"L54976","20","0","359","1","84","9","1345","false"
